Category,"name
(Parameter to be adjusted)","desc
(Parameter description)","get
(Command for querying parameter values.)","set
(Command for setting parameter values)",needrestart(Whether require restart or not),type (discrete/continuous),"options
(For the discrete type, use"";""to split  different values.)","dtype
(For discrete, the parameter value type can only be int or string.)","scope
(Minimum value of the parameter)","scope
(Maximum Value of the parameter)","step
(Step of the parameter value)","items
(Enumerated values out of parameter values. Use "";"" to split different values)",select (whether to select the parameter)
,refill_1024_relax_en,Whether to use the 1024-bit size to send requests for access. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,lookup_thr_en,Whether to enable the through channel during pipeline query. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,snpunique_stash_en,Support to receive hydra snpUniquestash. 0--forbid 1--support,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,prime_timeout_mask_en,Enable the count for timeout. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,prime_sleep_mask_en,Enable the function of releasing a sleep request after a period of time. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,prime_extend_mask_en,Whether to enable random allocation of a request to extendway. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,force_intl_allocate_fail,Enable the function of forcibly determining that the assign operation of the intleave type fails. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,cpu_write_unique_stream_en,Whether to forcibly process the writeunique operation delivered by the CPU as the stream type. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,cpu_pf_lqos_en,Whether to enable the prefetch operation delivered by the CPU to be forcibly processed as the lqos operation. 0--disable 1--enable.,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,cpu_vic_lqos_en,Whether to enable the victim operation delivered by the CPU to be forcibly processed as the lqos operation. 0--disable 1--enable.,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,prime_excl_mask_en,Whether to enable the random exclusive operation. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,prime_drop_mask_en,Enable prefetch to retry randomly. 0--disable 1--enable.,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,prime_home_mask_en,Enable the forcehome processing on internal requests randomly. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,refillsize_com_ada_en,"Whether to enable the auto-sensing of the size of the request sent to the HHA. If the size of the continuously received requests is 128 bytes or 64 bytes, the size of the prefetched request is automatically adjusted. 0--disable 1--enable adaptive size adjustment.",cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,refillsize_pre_ada_en,"Whether to enable the adaptation of the size of the request sent to the HHA. If the size of the continuously received request is 128 bytes or 64 bytes, the size of the normal request is automatically adjusted. 0--disable 1--enable adaptive size adjustment.",cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,sequence_opt_en,Whether change the L3T processing to serial mode when blocking. 0--limit 1--enable.,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,prefetch_clr_level,Number of requests that fail to find the corresponding prefetch buffer and lower the priority of each buffer to make the existing buffer easier to replace. Range from 0~255.,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,,int,0,255,1,,yes
,prefetch_overide_level,"Initial coverage priority for an operation to enter the prefetch buffer. If the value is incorrect, the threshold is decreased by 1. If the value is correct, the threshold is increased by 1. If the value is 0, the prefetch rule needs to be replaced. range 0~15.",cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,,int,0,15,1,,yes
,prefetch_utl_ddr,The utilization of ddr that leads to the halving the threshold of prefetch. 0--less thean 1/2 1--1/2 2--3/4 3--almost full.,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,,int,0,3,1,,yes
,prefetch_utl_ddr_en,Whether to allow the automatic threshold reduction according to the utilization of ddr. 0--forbid 1--allow.,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,prefetch_utl_l3t,The utilization of l3t that leads to the halving the threshold of prefetch. 0--less thean 1/2 1--1/2 2--3/4 3--almost full.,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,,int,0,3,1,,yes
,prefetch_utl_l3t_en,Whether to allow the automatic threshold reduction according to the utilization of l3t. 0--forbid 1--allow.,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,prefetch_vague_en,"Whether to enable fuzzy match for prefetch. After the function is enabled, the prefetch summarizes the same 16 KB address rule. The four 4 KB address rules are the same and can be used together. 0--disable 1--enable.",cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,prefetch_core_en,Core prefetch enable: Bit 1 indicates that the core request needs to be prefetched. range 0~15.,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,,int,0,15,1,,yes
,prefetch_match_en,Whether to enable the prefetch operation after the prefetch hit. 0--disable 1--enable.,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,prefetch_start_level,"The number of missing addresses that leads to prefetch. 0--32 1--2 n-1--n, can be 0-31.",cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,,int,0,31,1,,yes
,pime_timeout_num,The maximum count of timeout. Range from 0 to 65535.,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,,int,0,65535,1,,yes
,reg_ctrl_spillprefetch,Snoop type configuration of the spill. 0--type of request 1--prefetch,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,reg_ctrl_mpamen,Enable HHA MPAM scheduling. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,reg_ctrl_mpamqos,Enable QoS for modifying the DDR read/write command based on the MPAM monitoring and control bandwidth. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,reg_ctrl_poison,Enable HHA to return poison. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,reg_ctrl_compress_spec,Enable the random read of 128-byte data in HHA memory data compression. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,reg_ctrl_writeevict_drop,Enable the discard of WriteEvictI. 0--disable 1--enable.,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,reg_ctrl_prefetch_drop,Prefetch operation discard enable. 0--disable 1--enable.,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,reg_ctrl_dmcassign,"DDR access address alignment enable. 0--The DDR read operation uses the wrap mode, and the address is 32-byte-aligned. The DDR write operation is always in INCR mode, and the address is aligned with the access boundary. 1--The DDR read operation is always in INCR mode, and the address is aligned with the access boundary. The DDR write operation is always in INCR mode, and the address is aligned with the access boundary.",cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,reg_ctrl_rdatabyp,"DDR read data bypass memory enable in the HHA. 0--disable 1--The internal data of the HHA is bypassed, and the DDR read data can be transmitted quickly.",cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,reg_ctrl_excl_clear_dis,Whether to disable the function of periodically clearing HHA non-cacheable exclusive monitor. 0--enable 1--disable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,reg_ctrl_excl_eventen,Enable HHA non-cacheable exclusive monitor event. An event can be sent to wake up the CPU when an address is successfully written or corrupted. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,reg_ctrl_eccen,Enable the memory ECC error correction in the HHA. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,reg_readoncesnp_dis,Disable NCA Readonce fixed snoop. 0--enable 1--disable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,reg_cc_exter_stash,L3T configuration of extern snoop stash. 0--forbid 1--allow,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,reg_cc_writebacki_spill_full,Enable fixed 128-byte data spill of the WritebackI operation. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,reg_cc_writeevicti_spill_full,Enable fixed 128-byte data spill of the WriteEvictI operation. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,reg_cc_stashonce_full,Enable fixed 128-byte data stash of the StashOnce operation. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,reg_cc_atomicstashl2,Enable L2 stash of atomic operations. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,reg_cc_atomicstashl3,Enable L3 stash of atomic operations. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,reg_cc_atomicstashclr,Clear L3 stash monitor of atomic operations. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,reg_cc_cmo_snpme,Enable snoop me for CMO operations. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,reg_cc_makee_change,Enable HHA MakeE conversion to readE when the HHA MakeE is not self-hit. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,reg_cc_ioc_hitsca_dis,Disable the function of recording CAIDs when the HHA I/O cache hits the exact directory. 0--enable 1--disable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,reg_cc_passdirty,Enable HHA pass dirty. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,reg_cc_snpdrop,Enable Snoop Drop. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,reg_cc_spill,Enable local multi-partition sharing. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,reg_precisionsnp_dis,Disable HHA precise snoop based on shared directories. 0--enable 1--disable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,reg_notonly_excl,Whether to create new entries for exclusive operations in the HHA share directory buffer. 0--only for exclusive operations 1--for all of operations,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,reg_buffer_share_dis,Disable HHA share directory buffer. 0--enable 1--disable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,reg_miss_allindex,Enable that HHA miss queues are related based on index. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,reg_miss_cbackth,Enable HHA miss queue copyback request to use second threshold. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,reg_miss_normalth,Enable HHA miss queue common request to use second threshold. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,reg_miss_tosdir,Enable HHA only to allow miss alloc to be sent to sdir. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,reg_entry_except,Exclude the same entry address in HHA. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,reg_dir_precision,Configuration of HHA precise directory. 0--disable to allow vague directory recording 1--enable to forbid vague directory recording,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,reg_dir_replace_alg,Directory replacement algorithm configuration. 0--EDIR random+SDIR random 1--EDIR random+SDIR polling 2--EDIR PLRU+SDIR random 3--EDIR PLRU+SDIR polling,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,,int,0,3,1,,yes
,strict_order,Keep the order of HHA operation queue strictly. 0--enable 1--unable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,prefetch_comb,Read operation and prefetchtgt merge enable. 0--The read operation can be merged with the fetchtgt operation. 1--The read operation and the fetchtgt merge operation are not allowed.,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,evict_green,Unblocking configuration of the evict in PQ. 0--evict can't be blocked 1--evict can be blocked,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,block_retry,Whether to perform retry configuration directly when the MPAM hardlim flow bandwidth exceeds the configured one such that enters CMD. 0--retry directly 1--don't retry directly and be scheduled with other flows,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,buffer_prio,Priority configuration for the ingress queue of the CMD buffer request and PGNT application. 0--CMD buffer priors to pgnt 1--CMD buffer and pgnt have equivalent priority,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,half_wr_rdddr_delay,Enables the DDR read delay during 64-byte full write operations after compression. 0--enable 1--disable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,wback_cnfl_rdhalf,DDR size configuration that is reread when the writeback conflict occurs. 0--depend on Writeback address and size 1--size=128B,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,reg_funcdis_pendprecision,Enable precise pend. 0--pend is precisely depend on flit 1--pend=1,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,reg_funcdis_combrdddr,Reread DDR after multiple adjacent narrow write operations are merged.,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,reg_funcdis_scramble,Ingress queue scrambling. 0--enable 1--disable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,reg_funcdis_stashidpg,Whether to enable the partial good conversion of the Stash TGTID. ,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,reg_funcdis_rdatatime,HHA receives DMC read data anti-starvation threshold configuration. 0--threshold=8 1--threshold=4,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
